afm,fullname,phone_number,email,credit_card_Pin,age,customer_ID
123164739,Cheston Eyer,6173053649,ceyer0@uol.com.br,201506182476799,19,1
234512119,Gigi Beames,1972791772,gbeames1@barnesandnoble.com,3571385084990207,29,2
377563459,Lorettalorna Bilyard,5443308267,lbilyard2@java.com,6767396823383411,39,3
432547649,Chevalier Spottiswood,4931338513,cspottiswood3@time.com,5108752245143728,46,4
532547649,Christopher Goodenough,1243902802,cgoodenough4@plala.or.jp,30389624099967,56,5
632547649,Dane Robun,7118174411,drobun5@nps.gov,3586960007070601,62,6
732547649,Fredi Clemenson,6422373685,fclemenson6@mapy.cz,3569633859506284,79,7
832547649,Andy Drescher,8367127746,adrescher7@slideshare.net,5100142281833861,83,8
932547649,Dimitry Van den Velde,7302370693,dvan8@goo.ne.jp,36418291147165,94,9
102547649,Sal Gounard,7965788063,sgounard9@prlog.org,0604878469690043,22,10
112547649,Hollyanne Durn,6676861616,hdurna@soup.io,30422330878059,22,11
122547649,Calv Combe,2557180124,ccombeb@fema.gov,30195056043799,22,12
132547649,Virgina Pierson,2335622883,vpiersonc@biblegateway.com,3544204421909925,55,13
142547649,Reggis Hutchin,5496998329,rhutchind@nature.com,3545433321139882,80,14
152547649,Loralyn Forber,2751988662,lforbere@qq.com,201957593088428,80,15
162547649,Woodie Sive,6472114404,wsivef@bloglovin.com,3532074890022953,16,16
172547649,Corey Rodgman,8997446038,crodgmang@youtube.com,3546250534199290,90,17
182547649,Trix Winridge,1698252008,twinridgeh@craigslist.org,3579066710865789,77,18
192547649,Josefina Costock,2098661080,jcostocki@php.net,5002356328719375,78,19
202547649,Eleonora French,6882400877,efrenchj@squidoo.com,3543163732874023,20,20
